source_column_names,target_column_names,target_dtype,source_dtype,dim_column_values,final_column_values,final_column_names
trip_id,trip_id,text,text,"trip_id,trip_id","trip_id,trip_id",trip_id
trip_start_timestamp,trip_start_timestamp,timestamp,text,"trip_start_timestamp,trip_start_timestamp","trip_start_timestamp,trip_start_timestamp",trip_start_timestamp
trip_end_timestamp,trip_end_timestamp,timestamp,text,"trip_end_timestamp,trip_end_timestamp","trip_end_timestamp,trip_end_timestamp",trip_end_timestamp
trip_seconds,percent_time_chicago,numeric,text,"percent_time_chicago,trip_seconds","percent_time_chicago,trip_seconds",percent_time_chicago
trip_miles,percent_distance_chicago,numeric,text,"percent_distance_chicago,trip_miles","percent_distance_chicago,trip_miles",percent_distance_chicago
percent_time_chicago,dropoff_census_tract,text,text,"dropoff_census_tract,percent_time_chicago","dropoff_census_tract,percent_time_chicago",dropoff_census_tract
percent_distance_chicago,pickup_community_area,numeric,text,"pickup_community_area,percent_distance_chicago","pickup_community_area,percent_distance_chicago",pickup_community_area
pickup_census_tract,dropoff_community_area,numeric,text,"dropoff_community_area,pickup_census_tract","dropoff_community_area,pickup_census_tract",dropoff_community_area
dropoff_census_tract,fare,numeric,text,"fare,dropoff_census_tract","fare,dropoff_census_tract",fare
pickup_community_area,tip,numeric,text,"tip,pickup_community_area","tip,pickup_community_area",tip
dropoff_community_area,additional_charges,numeric,text,"additional_charges,dropoff_community_area","additional_charges,dropoff_community_area",additional_charges
fare,trip_total,numeric,text,"trip_total,fare","trip_total,fare",trip_total
tip,shared_trip_authorized,boolean,text,"shared_trip_authorized,shared_trip_match","shared_trip_authorized,shared_trip_match",shared_trip_authorized
additional_charges,trips_pooled,numeric,text,"trips_pooled,trips_pooled","trips_pooled,trips_pooled",trips_pooled
trip_total,pickup_centroid_latitude,numeric,text,"pickup_centroid_latitude,pickup_centroid_latitude","pickup_centroid_latitude,pickup_centroid_latitude",pickup_centroid_latitude
shared_trip_authorized,pickup_centroid_longitude,numeric,text,"pickup_centroid_longitude,pickup_centroid_longitude","pickup_centroid_longitude,pickup_centroid_longitude",pickup_centroid_longitude
shared_trip_match,pickup_centroid_location,varchar,text,"pickup_centroid_location,pickup_centroid_location","pickup_centroid_location,pickup_centroid_location",pickup_centroid_location
trips_pooled,dropoff_centroid_latitude,numeric,text,"dropoff_centroid_latitude,dropoff_centroid_latitude","dropoff_centroid_latitude,dropoff_centroid_latitude",dropoff_centroid_latitude
pickup_centroid_latitude,dropoff_centroid_longitude,numeric,text,"dropoff_centroid_longitude,dropoff_centroid_longitude","dropoff_centroid_longitude,dropoff_centroid_longitude",dropoff_centroid_longitude
pickup_centroid_longitude,dropoff_centroid_location,varchar,text,"dropoff_centroid_location,dropoff_centroid_location","dropoff_centroid_location,dropoff_centroid_location",dropoff_centroid_location
pickup_centroid_location,,timestamp,text,"created,now()","created,now()",
dropoff_centroid_latitude,,timestamp,text,"updated,now()","updated,now()",
dropoff_centroid_longitude,,int,text,"is_active,1","is_active,1",
dropoff_centroid_location,,int,text,"is_deleted,0","is_deleted,0",
